Name,Quantity,Component
"U1, U4",2," Arduino Uno R3"
"U2",1," Temperature Sensor [TMP36]"
"PIEZO1",1," Piezo"
"DIST2, DIST1",2," Ultrasonic Distance Sensor"
"D1",1,"White LED"
"R2",1,"220 Ω Resistor"
"R1",1,"220 Ω Resistor"
"Rpot1",1,"250 kΩ Potentiometer"
"U5",1," LCD 16 x 2 "
